"","Film","director","Actor","Award_Status","Ceremony_Year","Session","Category","Role","Status"
"836","Amistad","Steven Spielberg","Geno Silva",NA,NA,NA,NA,NA,"Non-Nominee"
"837","Babel","Alejandro González Iñárritu","Brad Pitt",NA,NA,NA,NA,NA,"Non-Nominee"
"838","Babel","Alejandro González Iñárritu","Rinko Kikuchi","Nominee","2006","79","ACTRESS IN A SUPPORTING ROLE","Chieko","Nominee"
"839","Babel","Alejandro González Iñárritu","Adriana Barraza","Nominee","2006","79","ACTRESS IN A SUPPORTING ROLE","Amelia","Nominee"
"840","Babel","Alejandro González Iñárritu","Cate Blanchett",NA,NA,NA,NA,NA,"Non-Nominee"
"841","Babel","Alejandro González Iñárritu","Satoshi Nikaido",NA,NA,NA,NA,NA,"Non-Nominee"
"842","Babel","Alejandro González Iñárritu","Said Tarchani",NA,NA,NA,NA,NA,"Non-Nominee"
"843","Babel","Alejandro González Iñárritu","Boubker Ait El Caid",NA,NA,NA,NA,NA,"Non-Nominee"
"844","Babel","Alejandro González Iñárritu","Gael García Bernal",NA,NA,NA,NA,NA,"Non-Nominee"
"845","Babel","Alejandro González Iñárritu","Nathan Gamble",NA,NA,NA,NA,NA,"Non-Nominee"
"846","Babel","Alejandro González Iñárritu","Elle Fanning",NA,NA,NA,NA,NA,"Non-Nominee"
"847","Babel","Alejandro González Iñárritu","Mohamed Akhzam",NA,NA,NA,NA,NA,"Non-Nominee"
"848","Babel","Alejandro González Iñárritu","Yuko Murata",NA,NA,NA,NA,NA,"Non-Nominee"
"849","Babel","Alejandro González Iñárritu","Koji Yakusho",NA,NA,NA,NA,NA,"Non-Nominee"
"850","Babel","Alejandro González Iñárritu","Mustapha Rachidi",NA,NA,NA,NA,NA,"Non-Nominee"
"851","Babel","Alejandro González Iñárritu","Abdelkader Bara",NA,NA,NA,NA,NA,"Non-Nominee"
"852","Billy Elliot","Stephen Daldry","Jamie Bell",NA,NA,NA,NA,NA,"Non-Nominee"
"853","Billy Elliot","Stephen Daldry","Gary Lewis",NA,NA,NA,NA,NA,"Non-Nominee"
"854","Billy Elliot","Stephen Daldry","Julie Walters","Nominee","2000","73","ACTRESS IN A SUPPORTING ROLE","Mrs. Wilkinson","Nominee"
"855","Billy Elliot","Stephen Daldry","Jean Heywood",NA,NA,NA,NA,NA,"Non-Nominee"
"856","Billy Elliot","Stephen Daldry","Jamie Draven",NA,NA,NA,NA,NA,"Non-Nominee"
"857","Billy Elliot","Stephen Daldry","Stuart Wells",NA,NA,NA,NA,NA,"Non-Nominee"
"858","Billy Elliot","Stephen Daldry","Mike Elliot",NA,NA,NA,NA,NA,"Non-Nominee"
"859","Billy Elliot","Stephen Daldry","Billy Fane",NA,NA,NA,NA,NA,"Non-Nominee"
"860","Billy Elliot","Stephen Daldry","Nicola Blackwell",NA,NA,NA,NA,NA,"Non-Nominee"
"861","Billy Elliot","Stephen Daldry","Carol McGuigan",NA,NA,NA,NA,NA,"Non-Nominee"
"862","Billy Elliot","Stephen Daldry","Joe Renton",NA,NA,NA,NA,NA,"Non-Nominee"
"863","Billy Elliot","Stephen Daldry","Colin MacLachlan",NA,NA,NA,NA,NA,"Non-Nominee"
"864","Billy Elliot","Stephen Daldry","Janine Birkett",NA,NA,NA,NA,NA,"Non-Nominee"
"865","Billy Elliot","Stephen Daldry","Trevor Fox",NA,NA,NA,NA,NA,"Non-Nominee"
"866","Billy Elliot","Stephen Daldry","Charlie Hardwick",NA,NA,NA,NA,NA,"Non-Nominee"
"867","Black Hawk Down","Ridley Scott","Josh Hartnett",NA,NA,NA,NA,NA,"Non-Nominee"
"868","Black Hawk Down","Ridley Scott","Eric Bana",NA,NA,NA,NA,NA,"Non-Nominee"
"869","Black Hawk Down","Ridley Scott","Ewan McGregor",NA,NA,NA,NA,NA,"Non-Nominee"
"870","Black Hawk Down","Ridley Scott","Tom Sizemore",NA,NA,NA,NA,NA,"Non-Nominee"
"871","Black Hawk Down","Ridley Scott","William Fichtner",NA,NA,NA,NA,NA,"Non-Nominee"
"872","Black Hawk Down","Ridley Scott","Sam Shepard",NA,NA,NA,NA,NA,"Non-Nominee"
"873","Black Hawk Down","Ridley Scott","Jason Isaacs",NA,NA,NA,NA,NA,"Non-Nominee"
"874","Black Hawk Down","Ridley Scott","Ewen Bremner",NA,NA,NA,NA,NA,"Non-Nominee"
"875","Black Hawk Down","Ridley Scott","Orlando Bloom",NA,NA,NA,NA,NA,"Non-Nominee"
"876","Black Hawk Down","Ridley Scott","Tom Hardy",NA,NA,NA,NA,NA,"Non-Nominee"
"877","Black Hawk Down","Ridley Scott","Charlie Hofheimer",NA,NA,NA,NA,NA,"Non-Nominee"
"878","Black Hawk Down","Ridley Scott","Hugh Dancy",NA,NA,NA,NA,NA,"Non-Nominee"
"879","Black Hawk Down","Ridley Scott","Tom Guiry",NA,NA,NA,NA,NA,"Non-Nominee"
"880","Black Hawk Down","Ridley Scott","Brian Van Holt",NA,NA,NA,NA,NA,"Non-Nominee"
"881","Black Hawk Down","Ridley Scott","Steven Ford",NA,NA,NA,NA,NA,"Non-Nominee"
"882","Boogie Nights","Paul Thomas Anderson","Mark Wahlberg",NA,NA,NA,NA,NA,"Non-Nominee"
"883","Boogie Nights","Paul Thomas Anderson","Burt Reynolds","Nominee","1997","70","ACTOR IN A SUPPORTING ROLE","Jack Horner","Nominee"
"884","Boogie Nights","Paul Thomas Anderson","Julianne Moore","Nominee","1997","70","ACTRESS IN A SUPPORTING ROLE","Amber Waves","Nominee"
"885","Boogie Nights","Paul Thomas Anderson","John C. Reilly",NA,NA,NA,NA,NA,"Non-Nominee"
"886","Boogie Nights","Paul Thomas Anderson","Heather Graham",NA,NA,NA,NA,NA,"Non-Nominee"
"887","Boogie Nights","Paul Thomas Anderson","Don Cheadle",NA,NA,NA,NA,NA,"Non-Nominee"
"888","Boogie Nights","Paul Thomas Anderson","Philip Seymour Hoffman",NA,NA,NA,NA,NA,"Non-Nominee"
"889","Boogie Nights","Paul Thomas Anderson","William H. Macy",NA,NA,NA,NA,NA,"Non-Nominee"
"890","Boogie Nights","Paul Thomas Anderson","Thomas Jane",NA,NA,NA,NA,NA,"Non-Nominee"
"891","Boogie Nights","Paul Thomas Anderson","Luis Guzmán",NA,NA,NA,NA,NA,"Non-Nominee"
"892","Boogie Nights","Paul Thomas Anderson","Melora Walters",NA,NA,NA,NA,NA,"Non-Nominee"
"893","Boogie Nights","Paul Thomas Anderson","Robert Ridgely",NA,NA,NA,NA,NA,"Non-Nominee"
"894","Boogie Nights","Paul Thomas Anderson","Ricky Jay",NA,NA,NA,NA,NA,"Non-Nominee"
"895","Boogie Nights","Paul Thomas Anderson","Nicole Ari Parker",NA,NA,NA,NA,NA,"Non-Nominee"
"896","Boogie Nights","Paul Thomas Anderson","Alfred Molina",NA,NA,NA,NA,NA,"Non-Nominee"
"897","Catch Me If You Can","Steven Spielberg","Leonardo DiCaprio",NA,NA,NA,NA,NA,"Non-Nominee"
"898","Catch Me If You Can","Steven Spielberg","Tom Hanks",NA,NA,NA,NA,NA,"Non-Nominee"
"899","Catch Me If You Can","Steven Spielberg","Christopher Walken","Nominee","2002","75","ACTOR IN A SUPPORTING ROLE","Frank Abagnale","Nominee"
"900","Catch Me If You Can","Steven Spielberg","Martin Sheen",NA,NA,NA,NA,NA,"Non-Nominee"
"901","Catch Me If You Can","Steven Spielberg","Nathalie Baye",NA,NA,NA,NA,NA,"Non-Nominee"
"902","Catch Me If You Can","Steven Spielberg","Amy Adams",NA,NA,NA,NA,NA,"Non-Nominee"
"903","Catch Me If You Can","Steven Spielberg","James Brolin",NA,NA,NA,NA,NA,"Non-Nominee"
"904","Catch Me If You Can","Steven Spielberg","Brian Howe",NA,NA,NA,NA,NA,"Non-Nominee"
"905","Catch Me If You Can","Steven Spielberg","Frank John Hughes",NA,NA,NA,NA,NA,"Non-Nominee"
"906","Catch Me If You Can","Steven Spielberg","Steve Eastin",NA,NA,NA,NA,NA,"Non-Nominee"
"907","Catch Me If You Can","Steven Spielberg","Chris Ellis",NA,NA,NA,NA,NA,"Non-Nominee"
"908","Catch Me If You Can","Steven Spielberg","John Finn",NA,NA,NA,NA,NA,"Non-Nominee"
"909","Catch Me If You Can","Steven Spielberg","Jennifer Garner",NA,NA,NA,NA,NA,"Non-Nominee"
"910","Catch Me If You Can","Steven Spielberg","Nancy Lenehan",NA,NA,NA,NA,NA,"Non-Nominee"
"911","Catch Me If You Can","Steven Spielberg","Ellen Pompeo",NA,NA,NA,NA,NA,"Non-Nominee"
"912","Changeling","Clint Eastwood","Angelina Jolie",NA,NA,NA,NA,NA,"Non-Nominee"
"913","Changeling","Clint Eastwood","John Malkovich",NA,NA,NA,NA,NA,"Non-Nominee"
"914","Changeling","Clint Eastwood","Jeffrey Donovan",NA,NA,NA,NA,NA,"Non-Nominee"
"915","Changeling","Clint Eastwood","Michael Kelly",NA,NA,NA,NA,NA,"Non-Nominee"
"916","Changeling","Clint Eastwood","Colm Feore",NA,NA,NA,NA,NA,"Non-Nominee"
"917","Changeling","Clint Eastwood","Jason Butler Harner",NA,NA,NA,NA,NA,"Non-Nominee"
"918","Changeling","Clint Eastwood","Amy Ryan",NA,NA,NA,NA,NA,"Non-Nominee"
"919","Changeling","Clint Eastwood","Geoff Pierson",NA,NA,NA,NA,NA,"Non-Nominee"
"920","Changeling","Clint Eastwood","Denis O'Hare",NA,NA,NA,NA,NA,"Non-Nominee"
"921","Changeling","Clint Eastwood","Frank Wood",NA,NA,NA,NA,NA,"Non-Nominee"
"922","Changeling","Clint Eastwood","Peter Gerety",NA,NA,NA,NA,NA,"Non-Nominee"
"923","Changeling","Clint Eastwood","Reed Birney",NA,NA,NA,NA,NA,"Non-Nominee"
"924","Changeling","Clint Eastwood","Gattlin Griffith",NA,NA,NA,NA,NA,"Non-Nominee"
"925","Changeling","Clint Eastwood","Michelle Gunn",NA,NA,NA,NA,NA,"Non-Nominee"
"926","Changeling","Clint Eastwood","Jan Devereaux",NA,NA,NA,NA,NA,"Non-Nominee"
"927","Cinderella Man","Ron Howard","Russell Crowe",NA,NA,NA,NA,NA,"Non-Nominee"
"928","Cinderella Man","Ron Howard","Renée Zellweger",NA,NA,NA,NA,NA,"Non-Nominee"
"929","Cinderella Man","Ron Howard","Paul Giamatti","Nominee","2005","78","ACTOR IN A SUPPORTING ROLE","Joe Gould","Nominee"
"930","Cinderella Man","Ron Howard","Craig Bierko",NA,NA,NA,NA,NA,"Non-Nominee"
"931","Cinderella Man","Ron Howard","Paddy Considine",NA,NA,NA,NA,NA,"Non-Nominee"
"932","Cinderella Man","Ron Howard","Bruce McGill",NA,NA,NA,NA,NA,"Non-Nominee"
"933","Cinderella Man","Ron Howard","David Huband",NA,NA,NA,NA,NA,"Non-Nominee"
"934","Cinderella Man","Ron Howard","Connor Price",NA,NA,NA,NA,NA,"Non-Nominee"
"935","Cinderella Man","Ron Howard","Ariel Waller",NA,NA,NA,NA,NA,"Non-Nominee"
"936","Cinderella Man","Ron Howard","Patrick Louis",NA,NA,NA,NA,NA,"Non-Nominee"
"937","Cinderella Man","Ron Howard","Rosemarie DeWitt",NA,NA,NA,NA,NA,"Non-Nominee"
"938","Cinderella Man","Ron Howard","Linda Kash",NA,NA,NA,NA,NA,"Non-Nominee"
"939","Cinderella Man","Ron Howard","Nicholas Campbell",NA,NA,NA,NA,NA,"Non-Nominee"
"940","Cinderella Man","Ron Howard","Gene Pyrz",NA,NA,NA,NA,NA,"Non-Nominee"
"941","Cinderella Man","Ron Howard","Chuck Shamata",NA,NA,NA,NA,NA,"Non-Nominee"
"942","Frost/Nixon","Ron Howard","Frank Langella","Nominee","2008","81","ACTOR IN A LEADING ROLE","Richard Nixon","Nominee"
"943","Frost/Nixon","Ron Howard","Michael Sheen",NA,NA,NA,NA,NA,"Non-Nominee"
"944","Frost/Nixon","Ron Howard","Kevin Bacon",NA,NA,NA,NA,NA,"Non-Nominee"
"945","Frost/Nixon","Ron Howard","Rebecca Hall",NA,NA,NA,NA,NA,"Non-Nominee"
"946","Frost/Nixon","Ron Howard","Toby Jones",NA,NA,NA,NA,NA,"Non-Nominee"
"947","Frost/Nixon","Ron Howard","Matthew Macfadyen",NA,NA,NA,NA,NA,"Non-Nominee"
"948","Frost/Nixon","Ron Howard","Oliver Platt",NA,NA,NA,NA,NA,"Non-Nominee"
"949","Frost/Nixon","Ron Howard","Sam Rockwell",NA,NA,NA,NA,NA,"Non-Nominee"
"950","Frost/Nixon","Ron Howard","Clint Howard",NA,NA,NA,NA,NA,"Non-Nominee"
"951","Frost/Nixon","Ron Howard","Patty McCormack",NA,NA,NA,NA,NA,"Non-Nominee"
"952","Frost/Nixon","Ron Howard","Andy Milder",NA,NA,NA,NA,NA,"Non-Nominee"
"953","Frost/Nixon","Ron Howard","Kate Jennings Grant",NA,NA,NA,NA,NA,"Non-Nominee"
"954","Frost/Nixon","Ron Howard","Eloy Casados",NA,NA,NA,NA,NA,"Non-Nominee"
"955","Frost/Nixon","Ron Howard","Gabriel Jarret",NA,NA,NA,NA,NA,"Non-Nominee"
"956","Frost/Nixon","Ron Howard","Jim Meskimen",NA,NA,NA,NA,NA,"Non-Nominee"
"957","Gangs of New York","Martin Scorsese","Leonardo DiCaprio",NA,NA,NA,NA,NA,"Non-Nominee"
"958","Gangs of New York","Martin Scorsese","Daniel Day-Lewis",NA,NA,NA,NA,NA,"Non-Nominee"
"959","Gangs of New York","Martin Scorsese","Cameron Diaz",NA,NA,NA,NA,NA,"Non-Nominee"
"960","Gangs of New York","Martin Scorsese","Jim Broadbent",NA,NA,NA,NA,NA,"Non-Nominee"
"961","Gangs of New York","Martin Scorsese","John C. Reilly",NA,NA,NA,NA,NA,"Non-Nominee"
"962","Gangs of New York","Martin Scorsese","Henry Thomas",NA,NA,NA,NA,NA,"Non-Nominee"
"963","Gangs of New York","Martin Scorsese","Liam Neeson",NA,NA,NA,NA,NA,"Non-Nominee"
"964","Gangs of New York","Martin Scorsese","Brendan Gleeson",NA,NA,NA,NA,NA,"Non-Nominee"
"965","Gangs of New York","Martin Scorsese","Gary Lewis",NA,NA,NA,NA,NA,"Non-Nominee"
"966","Gangs of New York","Martin Scorsese","Stephen Graham",NA,NA,NA,NA,NA,"Non-Nominee"
"967","Gangs of New York","Martin Scorsese","Eddie Marsan",NA,NA,NA,NA,NA,"Non-Nominee"
"968","Gangs of New York","Martin Scorsese","Alec McCowen",NA,NA,NA,NA,NA,"Non-Nominee"
"969","Gangs of New York","Martin Scorsese","David Hemmings",NA,NA,NA,NA,NA,"Non-Nominee"
"970","Gangs of New York","Martin Scorsese","Lawrence Gilliard Jr.",NA,NA,NA,NA,NA,"Non-Nominee"
"971","Gangs of New York","Martin Scorsese","Cara Seymour",NA,NA,NA,NA,NA,"Non-Nominee"
"972","Girl, Interrupted","James Mangold","Winona Ryder",NA,NA,NA,NA,NA,"Non-Nominee"
"973","Girl, Interrupted","James Mangold","Angelina Jolie","Winner","1999","72","ACTRESS IN A SUPPORTING ROLE","Lisa Rowe","Winner"
"974","Girl, Interrupted","James Mangold","Clea DuVall",NA,NA,NA,NA,NA,"Non-Nominee"
"975","Girl, Interrupted","James Mangold","Brittany Murphy",NA,NA,NA,NA,NA,"Non-Nominee"
"976","Girl, Interrupted","James Mangold","Elisabeth Moss",NA,NA,NA,NA,NA,"Non-Nominee"
"977","Girl, Interrupted","James Mangold","Jared Leto",NA,NA,NA,NA,NA,"Non-Nominee"
"978","Girl, Interrupted","James Mangold","Jeffrey Tambor",NA,NA,NA,NA,NA,"Non-Nominee"
"979","Girl, Interrupted","James Mangold","Vanessa Redgrave",NA,NA,NA,NA,NA,"Non-Nominee"
"980","Girl, Interrupted","James Mangold","Whoopi Goldberg",NA,NA,NA,NA,NA,"Non-Nominee"
"981","Girl, Interrupted","James Mangold","Angela Bettis",NA,NA,NA,NA,NA,"Non-Nominee"
"982","Girl, Interrupted","James Mangold","Jillian Armenante",NA,NA,NA,NA,NA,"Non-Nominee"
"983","Girl, Interrupted","James Mangold","Drucie McDaniel",NA,NA,NA,NA,NA,"Non-Nominee"
"984","Girl, Interrupted","James Mangold","Alison Claire",NA,NA,NA,NA,NA,"Non-Nominee"
"985","Girl, Interrupted","James Mangold","Christina Myers",NA,NA,NA,NA,NA,"Non-Nominee"
"986","Girl, Interrupted","James Mangold","Joanna Kerns",NA,NA,NA,NA,NA,"Non-Nominee"
"987","Gladiator","Ridley Scott","Russell Crowe","Winner","2000","73","ACTOR IN A LEADING ROLE","Maximus Decimus Meridius","Winner"
"988","Gladiator","Ridley Scott","Joaquin Phoenix","Nominee","2000","73","ACTOR IN A SUPPORTING ROLE","Commodus","Nominee"
"989","Gladiator","Ridley Scott","Connie Nielsen",NA,NA,NA,NA,NA,"Non-Nominee"
"990","Gladiator","Ridley Scott","Oliver Reed",NA,NA,NA,NA,NA,"Non-Nominee"
"991","Gladiator","Ridley Scott","Richard Harris",NA,NA,NA,NA,NA,"Non-Nominee"
"992","Gladiator","Ridley Scott","Derek Jacobi",NA,NA,NA,NA,NA,"Non-Nominee"
"993","Gladiator","Ridley Scott","Djimon Hounsou",NA,NA,NA,NA,NA,"Non-Nominee"
"994","Gladiator","Ridley Scott","David Schofield",NA,NA,NA,NA,NA,"Non-Nominee"
"995","Gladiator","Ridley Scott","John Shrapnel",NA,NA,NA,NA,NA,"Non-Nominee"
"996","Gladiator","Ridley Scott","Tomas Arana",NA,NA,NA,NA,NA,"Non-Nominee"
"997","Gladiator","Ridley Scott","Ralf Moeller",NA,NA,NA,NA,NA,"Non-Nominee"
"998","Gladiator","Ridley Scott","Spencer Treat Clark",NA,NA,NA,NA,NA,"Non-Nominee"
"999","Gladiator","Ridley Scott","David Hemmings",NA,NA,NA,NA,NA,"Non-Nominee"
"1000","Gladiator","Ridley Scott","Tommy Flanagan",NA,NA,NA,NA,NA,"Non-Nominee"
"1001","Gladiator","Ridley Scott","Sven-Ole Thorsen",NA,NA,NA,NA,NA,"Non-Nominee"
"1002","Inglourious Basterds","Quentin Tarantino","Brad Pitt",NA,NA,NA,NA,NA,"Non-Nominee"
"1003","Inglourious Basterds","Quentin Tarantino","Mélanie Laurent",NA,NA,NA,NA,NA,"Non-Nominee"
"1004","Inglourious Basterds","Quentin Tarantino","Christoph Waltz","Winner","2009","82","ACTOR IN A SUPPORTING ROLE","Col. Hans Landa","Winner"
"1005","Inglourious Basterds","Quentin Tarantino","Eli Roth",NA,NA,NA,NA,NA,"Non-Nominee"
"1006","Inglourious Basterds","Quentin Tarantino","Michael Fassbender",NA,NA,NA,NA,NA,"Non-Nominee"
"1007","Inglourious Basterds","Quentin Tarantino","Diane Kruger",NA,NA,NA,NA,NA,"Non-Nominee"
"1008","Inglourious Basterds","Quentin Tarantino","Daniel Brühl",NA,NA,NA,NA,NA,"Non-Nominee"
"1009","Inglourious Basterds","Quentin Tarantino","Til Schweiger",NA,NA,NA,NA,NA,"Non-Nominee"
"1010","Inglourious Basterds","Quentin Tarantino","Gedeon Burkhard",NA,NA,NA,NA,NA,"Non-Nominee"
"1011","Inglourious Basterds","Quentin Tarantino","Jacky Ido",NA,NA,NA,NA,NA,"Non-Nominee"
"1012","Inglourious Basterds","Quentin Tarantino","B. J. Novak",NA,NA,NA,NA,NA,"Non-Nominee"
"1013","Inglourious Basterds","Quentin Tarantino","Omar Doom",NA,NA,NA,NA,NA,"Non-Nominee"
"1014","Inglourious Basterds","Quentin Tarantino","August Diehl",NA,NA,NA,NA,NA,"Non-Nominee"
"1015","Inglourious Basterds","Quentin Tarantino","Denis Ménochet",NA,NA,NA,NA,NA,"Non-Nominee"
"1016","Inglourious Basterds","Quentin Tarantino","Sylvester Groth",NA,NA,NA,NA,NA,"Non-Nominee"
"1017","Invictus","Clint Eastwood","Morgan Freeman","Nominee","2009","82","ACTOR IN A LEADING ROLE","Nelson Mandela","Nominee"
"1018","Invictus","Clint Eastwood","Matt Damon","Nominee","2009","82","ACTOR IN A SUPPORTING ROLE","Francois Pienaar","Nominee"
"1019","Invictus","Clint Eastwood","Tony Kgoroge",NA,NA,NA,NA,NA,"Non-Nominee"
"1020","Invictus","Clint Eastwood","Patrick Mofokeng",NA,NA,NA,NA,NA,"Non-Nominee"
"1021","Invictus","Clint Eastwood","Matt Stern",NA,NA,NA,NA,NA,"Non-Nominee"
"1022","Invictus","Clint Eastwood","Julian Lewis Jones",NA,NA,NA,NA,NA,"Non-Nominee"
"1023","Invictus","Clint Eastwood","Adjoa Andoh",NA,NA,NA,NA,NA,"Non-Nominee"
"1024","Invictus","Clint Eastwood","Marguerite Wheatley",NA,NA,NA,NA,NA,"Non-Nominee"
"1025","Invictus","Clint Eastwood","Leleti Khumalo",NA,NA,NA,NA,NA,"Non-Nominee"
"1026","Invictus","Clint Eastwood","Patrick Lyster",NA,NA,NA,NA,NA,"Non-Nominee"
"1027","Invictus","Clint Eastwood","Penny Downie",NA,NA,NA,NA,NA,"Non-Nominee"
"1028","Invictus","Clint Eastwood","Sibongile Nojila",NA,NA,NA,NA,NA,"Non-Nominee"
"1029","Invictus","Clint Eastwood","Bonnie Mbuli",NA,NA,NA,NA,NA,"Non-Nominee"
"1030","Invictus","Clint Eastwood","Shakes Myeko",NA,NA,NA,NA,NA,"Non-Nominee"
"1031","Invictus","Clint Eastwood","Louis Minnaar",NA,NA,NA,NA,NA,"Non-Nominee"
"1032","Jackie Brown","Quentin Tarantino","Pam Grier",NA,NA,NA,NA,NA,"Non-Nominee"
"1033","Jackie Brown","Quentin Tarantino","Samuel L. Jackson",NA,NA,NA,NA,NA,"Non-Nominee"
"1034","Jackie Brown","Quentin Tarantino","Robert De Niro",NA,NA,NA,NA,NA,"Non-Nominee"
"1035","Jackie Brown","Quentin Tarantino","Bridget Fonda",NA,NA,NA,NA,NA,"Non-Nominee"
"1036","Jackie Brown","Quentin Tarantino","Michael Keaton",NA,NA,NA,NA,NA,"Non-Nominee"
"1037","Jackie Brown","Quentin Tarantino","Robert Forster","Nominee","1997","70","ACTOR IN A SUPPORTING ROLE","Max Cherry","Nominee"
"1038","Jackie Brown","Quentin Tarantino","Michael Bowen",NA,NA,NA,NA,NA,"Non-Nominee"
"1039","Jackie Brown","Quentin Tarantino","Chris Tucker",NA,NA,NA,NA,NA,"Non-Nominee"
"1040","Jackie Brown","Quentin Tarantino","LisaGay Hamilton",NA,NA,NA,NA,NA,"Non-Nominee"
"1041","Jackie Brown","Quentin Tarantino","Tommy Lister Jr.",NA,NA,NA,NA,NA,"Non-Nominee"
"1042","Jackie Brown","Quentin Tarantino","Hattie Winston",NA,NA,NA,NA,NA,"Non-Nominee"
"1043","Jackie Brown","Quentin Tarantino","Sid Haig",NA,NA,NA,NA,NA,"Non-Nominee"
"1044","Jackie Brown","Quentin Tarantino","Aimee Graham",NA,NA,NA,NA,NA,"Non-Nominee"
"1045","Jackie Brown","Quentin Tarantino","Ellis Williams",NA,NA,NA,NA,NA,"Non-Nominee"
"1046","Jackie Brown","Quentin Tarantino","Tangie Ambrose",NA,NA,NA,NA,NA,"Non-Nominee"
"1047","Letters from Iwo Jima","Clint Eastwood","Ken Watanabe",NA,NA,NA,NA,NA,"Non-Nominee"
"1048","Letters from Iwo Jima","Clint Eastwood","Kazunari Ninomiya",NA,NA,NA,NA,NA,"Non-Nominee"
"1049","Letters from Iwo Jima","Clint Eastwood","Tsuyoshi Ihara",NA,NA,NA,NA,NA,"Non-Nominee"
"1050","Letters from Iwo Jima","Clint Eastwood","Ryo Kase",NA,NA,NA,NA,NA,"Non-Nominee"
"1051","Letters from Iwo Jima","Clint Eastwood","Shido Nakamura",NA,NA,NA,NA,NA,"Non-Nominee"
"1052","Letters from Iwo Jima","Clint Eastwood","Hiroshi Watanabe",NA,NA,NA,NA,NA,"Non-Nominee"
"1053","Letters from Iwo Jima","Clint Eastwood","Takumi Bando",NA,NA,NA,NA,NA,"Non-Nominee"
"1054","Letters from Iwo Jima","Clint Eastwood","Yuki Matsuzaki",NA,NA,NA,NA,NA,"Non-Nominee"
"1055","Letters from Iwo Jima","Clint Eastwood","Takashi Yamaguchi",NA,NA,NA,NA,NA,"Non-Nominee"
"1056","Letters from Iwo Jima","Clint Eastwood","Eijiro Ozaki",NA,NA,NA,NA,NA,"Non-Nominee"
"1057","Letters from Iwo Jima","Clint Eastwood","Nae Yuuki",NA,NA,NA,NA,NA,"Non-Nominee"
"1058","Letters from Iwo Jima","Clint Eastwood","Nobumasa Sakagami",NA,NA,NA,NA,NA,"Non-Nominee"
"1059","Letters from Iwo Jima","Clint Eastwood","Luke Eberl",NA,NA,NA,NA,NA,"Non-Nominee"
"1060","Letters from Iwo Jima","Clint Eastwood","Sonny Saito",NA,NA,NA,NA,NA,"Non-Nominee"
"1061","Letters from Iwo Jima","Clint Eastwood","Steve Santa Sekiyoshi",NA,NA,NA,NA,NA,"Non-Nominee"
"1062","Magnolia","Paul Thomas Anderson","Tom Cruise","Nominee","1999","72","ACTOR IN A SUPPORTING ROLE","Frank T.J. Mackey","Nominee"
"1063","Magnolia","Paul Thomas Anderson","Philip Baker Hall",NA,NA,NA,NA,NA,"Non-Nominee"
"1064","Magnolia","Paul Thomas Anderson","Philip Seymour Hoffman",NA,NA,NA,NA,NA,"Non-Nominee"
"1065","Magnolia","Paul Thomas Anderson","Julianne Moore",NA,NA,NA,NA,NA,"Non-Nominee"
"1066","Magnolia","Paul Thomas Anderson","William H. Macy",NA,NA,NA,NA,NA,"Non-Nominee"
"1067","Magnolia","Paul Thomas Anderson","John C. Reilly",NA,NA,NA,NA,NA,"Non-Nominee"
"1068","Magnolia","Paul Thomas Anderson","Melora Walters",NA,NA,NA,NA,NA,"Non-Nominee"
"1069","Magnolia","Paul Thomas Anderson","Jeremy Blackman",NA,NA,NA,NA,NA,"Non-Nominee"
"1070","Magnolia","Paul Thomas Anderson","Jason Robards",NA,NA,NA,NA,NA,"Non-Nominee"
"1071","Magnolia","Paul Thomas Anderson","Melinda Dillon",NA,NA,NA,NA,NA,"Non-Nominee"
"1072","Magnolia","Paul Thomas Anderson","Michael Bowen",NA,NA,NA,NA,NA,"Non-Nominee"
"1073","Magnolia","Paul Thomas Anderson","April Grace",NA,NA,NA,NA,NA,"Non-Nominee"
"1074","Magnolia","Paul Thomas Anderson","Ricky Jay",NA,NA,NA,NA,NA,"Non-Nominee"
"1075","Magnolia","Paul Thomas Anderson","Emmanuel Johnson",NA,NA,NA,NA,NA,"Non-Nominee"
"1076","Magnolia","Paul Thomas Anderson","Pat Healy",NA,NA,NA,NA,NA,"Non-Nominee"
"1077","Million Dollar Baby","Clint Eastwood","Clint Eastwood","Nominee","2004","77","ACTOR IN A LEADING ROLE","Frankie Dunn","Nominee"
"1078","Million Dollar Baby","Clint Eastwood","Hilary Swank",NA,NA,NA,NA,NA,"Non-Nominee"
"1079","Million Dollar Baby","Clint Eastwood","Morgan Freeman","Winner","2004","77","ACTOR IN A SUPPORTING ROLE","Eddie Scrap-Iron Dupris","Winner"
"1080","Million Dollar Baby","Clint Eastwood","Jay Baruchel",NA,NA,NA,NA,NA,"Non-Nominee"
"1081","Million Dollar Baby","Clint Eastwood","Mike Colter",NA,NA,NA,NA,NA,"Non-Nominee"
"1082","Million Dollar Baby","Clint Eastwood","Lucia Rijker",NA,NA,NA,NA,NA,"Non-Nominee"
"1083","Million Dollar Baby","Clint Eastwood","Brían F. O'Byrne",NA,NA,NA,NA,NA,"Non-Nominee"
"1084","Million Dollar Baby","Clint Eastwood","Anthony Mackie",NA,NA,NA,NA,NA,"Non-Nominee"
"1085","Million Dollar Baby","Clint Eastwood","Margo Martindale",NA,NA,NA,NA,NA,"Non-Nominee"
