Nominee,"Denzel Washington -- Flight {""Whip Whitaker""}"
NA,ACTOR IN A SUPPORTING ROLE
Nominee,"Alan Arkin -- Argo {""Lester Siegel""}"
Nominee,"Robert De Niro -- Silver Linings Playbook {""Pat Sr.""}"
Nominee,"Philip Seymour Hoffman -- The Master {""Lancaster Dodd""}"
Nominee,"Tommy Lee Jones -- Lincoln {""Thaddeus Stevens""}"
Winner,"Christoph Waltz -- Django Unchained {""Dr. King Schultz""}"
NA,ACTRESS IN A LEADING ROLE
Nominee,"Jessica Chastain -- Zero Dark Thirty {""Maya""}"
Winner,"Jennifer Lawrence -- Silver Linings Playbook {""Tiffany""}"
Nominee,"Emmanuelle Riva -- Amour {""Anne""}"
Nominee,"Quvenzhané Wallis -- Beasts of the Southern Wild {""Hushpuppy""}"
Nominee,"Naomi Watts -- The Impossible {""Maria""}"
NA,ACTRESS IN A SUPPORTING ROLE
Nominee,"Amy Adams -- The Master {""Peggy Dodd""}"
Nominee,"Sally Field -- Lincoln {""Mary Todd Lincoln""}"
Winner,"Anne Hathaway -- Les Misérables {""Fantine""}"
Nominee,"Helen Hunt -- The Sessions {""Cheryl""}"
Nominee,"Jacki Weaver -- Silver Linings Playbook {""Dolores""}"
NA,DIRECTING
Nominee,Amour -- Michael Haneke
Nominee,Beasts of the Southern Wild -- Benh Zeitlin
Winner,Life of Pi -- Ang Lee
Nominee,Lincoln -- Steven Spielberg
Nominee,Silver Linings Playbook -- David O. Russell
NA,BEST PICTURE
Nominee,"Amour -- Margaret Menegoz, Stefan Arndt, Veit Heiduschka and Michael Katz, Producers"
Winner,"Argo -- Grant Heslov, Ben Affleck and George Clooney, Producers"
Nominee,"Beasts of the Southern Wild -- Dan Janvey, Josh Penn and Michael Gottwald, Producers"
Nominee,"Django Unchained -- Stacey Sher, Reginald Hudlin and Pilar Savone, Producers"
Nominee,"Les Misérables -- Tim Bevan, Eric Fellner, Debra Hayward and Cameron Mackintosh, Producers"
Nominee,"Life of Pi -- Gil Netter, Ang Lee and David Womark, Producers"
Nominee,"Lincoln -- Steven Spielberg and Kathleen Kennedy, Producers"
Nominee,"Silver Linings Playbook -- Donna Gigliotti, Bruce Cohen and Jonathan Gordon, Producers"
Nominee,"Zero Dark Thirty -- Mark Boal, Kathryn Bigelow and Megan Ellison, Producers"
NA,2013 (86th)
NA,ACTOR IN A LEADING ROLE
Nominee,"Christian Bale -- American Hustle {""Irving Rosenfeld""}"
Nominee,"Bruce Dern -- Nebraska {""Woody Grant""}"
Nominee,"Leonardo DiCaprio -- The Wolf of Wall Street {""Jordan Belfort""}"
Nominee,"Chiwetel Ejiofor -- 12 Years a Slave {""Solomon Northup""}"
Winner,"Matthew McConaughey -- Dallas Buyers Club {""Ron Woodroof""}"
NA,ACTOR IN A SUPPORTING ROLE
Nominee,"Barkhad Abdi -- Captain Phillips {""Muse""}"
Nominee,"Bradley Cooper -- American Hustle {""Richie DiMaso""}"
Nominee,"Michael Fassbender -- 12 Years a Slave {""Edwin Epps""}"
Nominee,"Jonah Hill -- The Wolf of Wall Street {""Donnie Azoff""}"
Winner,"Jared Leto -- Dallas Buyers Club {""Rayon""}"
NA,ACTRESS IN A LEADING ROLE
Nominee,"Amy Adams -- American Hustle {""Sydney Prosser""}"
Winner,"Cate Blanchett -- Blue Jasmine {""Jasmine""}"
Nominee,"Sandra Bullock -- Gravity {""Ryan Stone""}"
Nominee,"Judi Dench -- Philomena {""Philomena""}"
Nominee,"Meryl Streep -- August: Osage County {""Violet Weston""}"
