tmdb_id,title,director,genres,release_date,budget,Cast 1,Cast 2,Cast 3,Cast 4,Cast 5,Cast 6,Cast 7,Cast 8,Cast 9,Cast 10,Cast 11,Cast 12,Cast 13,Cast 14,Cast 15
73873,Albert Nobbs,Rodrigo García,Drama,2011-12-21,8000000,Glenn Close,Mia Wasikowska,Aaron Taylor-Johnson,Janet McTeer,Pauline Collins,Brenda Fricker,Jonathan Rhys Meyers,Brendan Gleeson,Maria Doyle Kennedy,Antonia Campbell-Hughes,Mark Williams,James Greene,Bronagh Gallagher,John Light,Serena Brabazon
49046,All Quiet on the Western Front,Edward Berger,"War, Drama",2022-10-07,20000000,Felix Kammerer,Albrecht Schuch,Aaron Hilmer,Moritz Klaus,Adrian Grünewald,Edin Hasanović,Daniel Brühl,Thibault de Montalembert,Devid Striesow,Andreas Döhler,Sebastian Hülk,Luc Feit,Michael Wittenborn,Michael Stange,Sascha Nathan
446791,All the Money in the World,Ridley Scott,"Crime, History, Thriller",2017-12-21,50000000,Michelle Williams,Mark Wahlberg,Christopher Plummer,Charlie Plummer,Romain Duris,Timothy Hutton,Charlie Shotwell,Andrew Buchan,Marco Leonardi,Giuseppe Bonifati,Nicolas Vaporidis,Andrea Piedimonte Bodini,Guglielmo Favilla,Adele Tirante,Stacy Martin
1056360,American Fiction,Cord Jefferson,"Comedy, Drama",2023-11-10,16000000,Jeffrey Wright,John Ortiz,Erika Alexander,Leslie Uggams,Sterling K. Brown,Skyler Wright,John Ales,Patrick Fischler,Carmen Cusack,Joseph Marrella,Stephen Burrell,Issa Rae,Nicole Kempskie,Becki Dennis,Tracee Ellis Ross
168672,American Hustle,David O. Russell,"Drama, Crime",2013-12-03,40000000,Christian Bale,Bradley Cooper,Amy Adams,Jeremy Renner,Jennifer Lawrence,Louis C.K.,Jack Huston,Michael Peña,Shea Whigham,Alessandro Nivola,Elisabeth Röhm,Paul Herman,Saïd Taghmaoui,Matthew Russell,Thomas Matthews
190859,American Sniper,Clint Eastwood,"War, Action",2014-12-25,58800000,Bradley Cooper,Sienna Miller,Kyle Gallner,Cole Konis,Ben Reed,Elise Robertson,Keir O'Donnell,Luke Sunshine,Kevin Lacz,Troy Vincent,Brandon Salgado Telis,Chance Kelly,Marnette Patterson,Billy Miller,Leonard Roberts
86837,Amour,Michael Haneke,"Drama, Romance",2012-09-20,8900000,Jean-Louis Trintignant,Emmanuelle Riva,Isabelle Huppert,Alexandre Tharaud,William Shimell,Ramon Agirre,Rita Blanco,Carole Franck,Dinara Drukarova,Laurent Capelluto,Jean-Michel Monroc,Suzanne Schmidt,Damien Jouillerot,Walid Afkir,
915935,Anatomy of a Fall,Justine Triet,"Thriller, Mystery, Crime",2023-08-23,6700000,Sandra Hüller,Swann Arlaud,Milo Machado-Graner,Antoine Reinartz,Samuel Theis,Jehnny Beth,Saadia Bentaïeb,Camille Rutherford,Anne Rotger,Sophie Fillières,Julien Comte,Pierre-François Garel,Savannah Rol,Iliès Kadri,Vincent Courcelle-Labrousse
44629,Animal Kingdom,David Michôd,"Crime, Drama",2010-06-03,5000000,Ben Mendelsohn,Joel Edgerton,Guy Pearce,Luke Ford,Jacki Weaver,Sullivan Stapleton,James Frecheville,Dan Wyllie,Anthony Hayes,Laura Wheelwright,Mirrah Foulkes,Justin Rosniak,Susan Prior,Clayton Jacobson,Anna Lise Phillips
1064213,Anora,Sean Baker,"Drama, Comedy, Romance",2024-10-14,6000000,Mikey Madison,Mark Eydelshteyn,Yura Borisov,Karren Karagulian,Vache Tovmasyan,Luna Sofía Miranda,Lindsey Normington,Darya Ekamasova,Aleksey Serebryakov,Anton Bitter,Ivy Wolk,Vlad Mamai,Maria Tichinskaya,Paul Weissman,Emily Weider
580175,Another Round,Thomas Vinterberg,"Comedy, Drama",2020-09-24,5150000,Mads Mikkelsen,Thomas Bo Larsen,Magnus Millang,Lars Ranthe,Maria Bonnevie,Helene Reingaard Neumann,Susse Wold,Magnus Sjørup,Silas Cornelius Van,Albert Rudbeck Lindhardt,Martin Greis-Rosenthal,Frederik Winther Rasmussen,Aksel Vedsegaard,Gustav Sigurth Jeppesen,Freja Bella Lindahl
68734,Argo,Ben Affleck,"Drama, Thriller",2012-10-11,44500000,Ben Affleck,Bryan Cranston,Alan Arkin,John Goodman,Victor Garber,Tate Donovan,Clea DuVall,Scoot McNairy,Rory Cochrane,Christopher Denham,Kerry Bishé,Kyle Chandler,Chris Messina,Željko Ivanek,Titus Welliver
329865,Arrival,Denis Villeneuve,"Drama, Science Fiction, Mystery",2016-11-10,47000000,Amy Adams,Jeremy Renner,Forest Whitaker,Michael Stuhlbarg,Mark O'Brien,Tzi Ma,Abigail Pniowsky,Julia Scarlett Dan,Jadyn Malone,Frank Schorpion,Lucas Chartier-Dessert,Christian Jadah,Lucy Van Oldenbarneveld,Andrew Shaver,Pat Kiely
491472,At Eternity's Gate,Julian Schnabel,"Drama, History",2018-11-15,0,Willem Dafoe,Rupert Friend,Oscar Isaac,Mads Mikkelsen,Mathieu Amalric,Emmanuelle Seigner,Niels Arestrup,Anne Consigny,Amira Casar,Vincent Perez,Lolita Chammah,Stella Schnabel,Alexis Michalik,Vladimir Consigny,Arthur Jacquin
152737,August: Osage County,John Wells,"Comedy, Drama",2013-12-26,25000000,Meryl Streep,Julia Roberts,Julianne Nicholson,Juliette Lewis,Ewan McGregor,Margo Martindale,Abigail Breslin,Chris Cooper,Dermot Mulroney,Benedict Cumberbatch,Misty Upham,Sam Shepard,Will Coffey,Newell Alexander,Jerry Stahl
76600,Avatar: The Way of Water,James Cameron,"Action, Adventure, Science Fiction",2022-12-14,350000000,Sam Worthington,Zoe Saldaña,Sigourney Weaver,Stephen Lang,Kate Winslet,Cliff Curtis,Joel David Moore,CCH Pounder,Edie Falco,Jemaine Clement,Giovanni Ribisi,Britain Dalton,Jamie Flatters,Trinity Jo-Li Bliss,Jack Champion
346698,Barbie,Greta Gerwig,"Comedy, Adventure",2023-07-19,145000000,Margot Robbie,Ryan Gosling,America Ferrera,Ariana Greenblatt,Issa Rae,Kate McKinnon,Alexandra Shipp,Emma Mackey,Hari Nef,Sharon Rooney,Ana Cruz Kayne,Ritu Arya,Dua Lipa,Nicola Coughlan,Emerald Fennell
84175,Beasts of the Southern Wild,Benh Zeitlin,"Drama, Fantasy",2012-06-29,1800000,Quvenzhané Wallis,Dwight Henry,Levy Easterly,Gina Montana,Lowell Landes,Pamela Harper,Amber Henry,Jonshel Alexander,Nicholas Clark,Joseph Brown,Henry D. Coleman,Kaliana Brower,Phillip Lawrence,Hannah Holby,Jimmy Lee Moore
55347,Beginners,Mike Mills,"Drama, Romance, Comedy",2011-06-03,3200000,Ewan McGregor,Christopher Plummer,Mélanie Laurent,Goran Višnjić,Kai Lennox,Mary Page Keller,Keegan Boos,China Shavers,Melissa Tang,Amanda Payton,Luke Diliberto,Lou Taylor Pucci,Jennifer Lauren Grant,Reynaldo Pacheco,Jodi Long
517088,Being the Ricardos,Aaron Sorkin,"Drama, History",2021-12-10,0,Nicole Kidman,Javier Bardem,J.K. Simmons,Nina Arianda,Tony Hale,Alia Shawkat,Jake Lacy,Linda Lavin,Ronny Cox,John Rubinstein,Clark Gregg,Nelson Franklin,Jeff Holman,Jonah Platt,Christopher Denham
777270,Belfast,Kenneth Branagh,"Drama, History",2021-11-12,11000000,Jude Hill,Jamie Dornan,Caitríona Balfe,Lewis McAskie,Judi Dench,Ciarán Hinds,Lara McDonnell,Colin Morgan,Gerard Horan,Josie Walker,Olive Tennant,Michael Maloney,Turlough Convery,Conor MacNeill,Chris McCurry
194662,Birdman or (The Unexpected Virtue of Ignorance),Alejandro González Iñárritu,"Drama, Comedy",2014-10-17,18000000,Michael Keaton,Emma Stone,Zach Galifianakis,Edward Norton,Andrea Riseborough,Naomi Watts,Amy Ryan,Lindsay Duncan,Merritt Wever,Jeremy Shamos,Damian Young,Kenny Chin,Jamahl Garrison-Lowe,Katherine O'Sullivan,Keenan Shimizu
45958,Biutiful,Alejandro González Iñárritu,Drama,2010-10-20,0,Javier Bardem,Maricel Álvarez,Hanaa Bouchaib,Guillermo Estrella,Eduard Fernández,Cheikh Ndiaye,Diaryatou Daff,Cheng Taishen,Luo Jin,George Chibuikwem Chukwuma,Lang Sofia Lin,Yodian Yang,Tuo Lin,Xueheng Chen,Xiaoyan Zhang
284054,Black Panther,Ryan Coogler,"Action, Adventure, Science Fiction",2018-02-13,200000000,Chadwick Boseman,Michael B. Jordan,Lupita Nyong'o,Danai Gurira,Martin Freeman,Daniel Kaluuya,Letitia Wright,Winston Duke,Sterling K. Brown,Angela Bassett,Forest Whitaker,Andy Serkis,Florence Kasumba,John Kani,David S. Lee
505642,Black Panther: Wakanda Forever,Ryan Coogler,"Action, Adventure, Science Fiction",2022-11-09,250000000,Letitia Wright,Tenoch Huerta Mejía,Lupita Nyong'o,Danai Gurira,Winston Duke,Angela Bassett,Martin Freeman,Julia Louis-Dreyfus,Dominique Thorne,Florence Kasumba,Michaela Coel,Alex Livinalli,Mabel Cadena,Michael B. Jordan,Isaach de Bankolé
44214,Black Swan,Darren Aronofsky,"Drama, Thriller, Horror",2010-12-03,13000000,Natalie Portman,Mila Kunis,Vincent Cassel,Barbara Hershey,Winona Ryder,Benjamin Millepied,Ksenia Solo,Kristina Anapau,Janet Montgomery,Sebastian Stan,Toby Hemingway,Sergio Torrado,Mark Margolis,Tina Sloan,Abraham Aronofsky
487558,BlacKkKlansman,Spike Lee,"Crime, Comedy, Drama, History",2018-08-09,15000000,John David Washington,Adam Driver,Topher Grace,Laura Harrier,Alec Baldwin,Jasper Pääkkönen,Corey Hawkins,Paul Walter Hauser,Ryan Eggold,Isiah Whitlock Jr. Robert John Burke,Brian Tarantina,Arthur J. Nascarella,Ken Garito,Frederick Weller,
301502,Blonde,Andrew Dominik,Drama,2022-09-16,22000000,Ana de Armas,Adrien Brody,Bobby Cannavale,Sara Paxton,Lucy DeVito,Julianne Nicholson,Scoot McNairy,Xavier Samuel,Caspar Phillipson,Evan Williams,Rebecca Wisocky,Toby Huss,Catherine Dent,Haley Webb,Dan Butler
160588,Blue Jasmine,Woody Allen,Drama,2013-08-01,18000000,Cate Blanchett,Sally Hawkins,Alec Baldwin,Peter Sarsgaard,Bobby Cannavale,Andrew Dice Clay,Louis C.K.,Michael Stuhlbarg,Alden Ehrenreich,Joy Carlin,Richard Conti,Glen Caspillo,Charlie Tahan,Annie McNamara,Daniel Jenks
46705,Blue Valentine,Derek Cianfrance,"Drama, Romance",2010-12-26,1000000,Ryan Gosling,Michelle Williams,John Doman,Mike Vogel,Ben Shenkman,Jen Jones,Maryann Plunkett,Faith Wladyka,Marshall Johnson,James Benatti,Barbara Troy,Carey Westbrook,Eileen Rosen,Enid Graham,Ashley Gurnari
424694,Bohemian Rhapsody,Bryan Singer,"Music, Drama",2018-10-24,52000000,Rami Malek,Gwilym Lee,Ben Hardy,Joseph Mazzello,Lucy Boynton,Aidan Gillen,Allen Leech,Tom Hollander,Mike Myers,Aaron McCusker,Meneka Das,Ace Bhatti,Priya Blackburn,Max Bennett,Dermot Murphy
525661,Bombshell,Jay Roach,Drama,2019-12-13,32000000,Charlize Theron,Margot Robbie,Nicole Kidman,John Lithgow,Allison Janney,Malcolm McDowell,Kate McKinnon,Connie Britton,Liv Hewson,Jack Haven,Rob Delaney,Mark Duplass,Stephen Root,Robin Weigert,Amy Landecker
740985,Borat Subsequent Moviefilm,Jason Woliner,Comedy,2020-10-23,0,Sacha Baron Cohen,Maria Bakalova,Tom Hanks,Dani Popescu,Manuel Vieru,Miroslav Tolj,Alin Popa,Ion Gheorghe,Nicolae Gheorghe,Marcela Codrea,Luca Nelu,Judith Dim Evans,Mike Pence,Rudolph Giuliani,Chase Fein
85350,Boyhood,Richard Linklater,Drama,2014-06-05,4000000,Ellar Coltrane,Patricia Arquette,Ethan Hawke,Lorelei Linklater,Libby Villari,Marco Perella,Brad Hawkins,Jamie Howard,Andrew Villarreal,Jenni Tooley,Zoe Graham,Charlie Sexton,Elijah Smith,Steven Chester Prince,Bonnie Cross
55721,Bridesmaids,Paul Feig,"Comedy, Romance",2011-05-13,32500000,Kristen Wiig,Maya Rudolph,Rose Byrne,Chris O'Dowd,Melissa McCarthy,Wendi McLendon-Covey,Ellie Kemper,Jill Clayburgh,Matt Lucas,Rebel Wilson,Michael Hitchcock,Terry Crews,Tom Yi,Elaine Kao,Kali Hawk
296098,Bridge of Spies,Steven Spielberg,"Thriller, Drama",2015-10-15,40000000,Tom Hanks,Mark Rylance,Amy Ryan,Alan Alda,Sebastian Koch,Austin Stowell,Billy Magnussen,Michael Simon Hall,Edward James Hyland,Stephen Kunken,Mike Houston,James Lorinz,Michael Power,Joe Starr,Merab Ninidze
167073,Brooklyn,John Crowley,"Romance, Drama, History",2015-10-20,11000000,Saoirse Ronan,Domhnall Gleeson,Emory Cohen,Jim Broadbent,Julie Walters,Jessica Paré,Eve Macklin,Brid Brennan,Fiona Glascott,Jane Brennan,Nora-Jane Noone,Jenn Murray,Eva Birthistle,Michael Zegen,Matt Glynn
398818,Call Me by Your Name,Luca Guadagnino,"Romance, Drama",2017-10-01,3500000,Armie Hammer,Timothée Chalamet,Michael Stuhlbarg,Amira Casar,Esther Garrel,Victoire du Bois,Vanda Capriolo,Antonio Rimoldi,Elena Bucci,Marco Sgrosso,André Aciman,Peter Spears,,,
401847,Can You Ever Forgive Me?,Marielle Heller,"Drama, Crime, Comedy",2018-10-19,0,Melissa McCarthy,Richard E. Grant,Dolly Wells,Ben Falcone,Gregory Korostishevsky,Jane Curtin,Stephen Spinella,Christian Navarro,Pun Bandhu,Erik LaRay Harvey,Brandon Scott Jones,Shae D'Lyn,Rosal Colon,Anna Deavere Smith,Marc Evan Jackson
334533,Captain Fantastic,Matt Ross,"Adventure, Drama",2016-07-08,5000000,Viggo Mortensen,George MacKay,Samantha Isler,Annalise Basso,Nicholas Hamilton,Shree Crooks,Charlie Shotwell,Trin Miller,Frank Langella,Ann Dowd,Steve Zahn,Kathryn Hahn,Elijah Stevenson,Teddy Van Ee,Erin Moriarty
109424,Captain Phillips,Paul Greengrass,"Action, Drama, Thriller",2013-10-10,55000000,Tom Hanks,Barkhad Abdi,Barkhad Abdirahman,Faysal  Ahmed,Mahat M. Ali,Michael Chernus,David Warshofsky,Corey Johnson,Chris Mulkey,Yul Vazquez,Max Martini,Catherine Keener,Omar Berdouni,Mohamed Ali,Issak Farah Samatar
258480,Carol,Todd Haynes,"Romance, Drama",2015-11-20,11800000,Cate Blanchett,Rooney Mara,Kyle Chandler,Jake Lacy,Sarah Paulson,John Magaro,Cory Michael Smith,Kevin Crowley,Nik Pajic,Carrie Brownstein,Trent Rowland,Sadie Heim,Kk Heim,Amy Warner,Michael Haney
595586,Causeway,Lila Neugebauer,Drama,2022-10-28,0,Jennifer Lawrence,Brian Tyree Henry,Linda Emond,Jayne Houdyshell,Stephen McKinley Henderson,Russell Harvard,Sean Carvajal,Frederick Weller,Will Pullen,Neal Huff,Danny Wolohan,Han Soto,Natalie Pilie,Suzette Stuebben,
776503,CODA,Sian Heder,"Drama, Music, Romance",2021-08-13,10000000,Emilia Jones,Marlee Matlin,Troy Kotsur,Eugenio Derbez,Ferdia Walsh-Peelo,Daniel Durant,Amy Forsyth,Kevin Chapman,John Fiore,Lonnie Farmer,Courtland Jones,Molly B. Thomas,Ayana Brown,Jason Pugatch,Kyana Fanene
440298,Cold War,Paweł Pawlikowski,"Romance, Music, Drama",2018-06-08,4954500,Joanna Kulig,Tomasz Kot,Borys Szyc,Agata Kulesza,Cédric Kahn,Jeanne Balibar,Adam Woronowicz,Adam Ferency,Adam Szyszkowski,Dražen Šivak,Slavko Sobin,Aloïse Sauvage,,,
974576,Conclave,Edward Berger,"Drama, Thriller",2024-10-25,20000000,Ralph Fiennes,Stanley Tucci,John Lithgow,Isabella Rossellini,Lucian Msamati,Carlos Diehz,Sergio Castellitto,Brían F. O'Byrne,Merab Ninidze,Thomas Loibl,Jacek Koman,Bruno Novelli,Rony Kramer,Valerio Da Silva,Joseph Mydell
312221,Creed,Ryan Coogler,Drama,2015-11-25,37000000,Michael B. Jordan,Sylvester Stallone,Tessa Thompson,Phylicia Rashād,Andre Ward,Tony Bellew,Ritchie Coster,Jacob 'Stitch' Duran,Graham McTavish,Malik Bazille,Ricardo 'Padman' McGill,Gabriel Rosado,Wood Harris,Buddy Osborn,Rupal Pujara
152532,Dallas Buyers Club,Jean-Marc Vallée,"Drama, History",2013-11-01,5000000,Matthew McConaughey,Jennifer Garner,Jared Leto,Denis O'Hare,Steve Zahn,Michael O'Neill,Dallas Roberts,Griffin Dunne,Kevin Rankin,Donna DuPlantier,Deneen Tyler,J.D. Evermore,Ian Casselberry,Noelle Wilcox,Bradford Cox
399404,Darkest Hour,Joe Wright,"Drama, History",2017-11-22,30000000,Gary Oldman,Stephen Dillane,Lily James,Ronald Pickup,Ben Mendelsohn,Kristin Scott Thomas,Nicholas Jones,Samuel West,David Schofield,Richard Lumsden,Malcolm Storry,Hilton McRae,Benjamin Whitrow,Joe Armstrong,Adrian Rawlins
68718,Django Unchained,Quentin Tarantino,"Drama, Western",2012-12-25,100000000,Jamie Foxx,Christoph Waltz,Leonardo DiCaprio,Kerry Washington,Samuel L. Jackson,Walton Goggins,Dennis Christopher,James Remar,David Steen,Dana Gourrier,Nichole Galicia,Laura Cayouette,Ato Essandoh,Sammi Rotibi,Clay Donahue Fontenot
646380,Don't Look Up,Adam McKay,"Comedy, Science Fiction, Drama",2021-12-08,75000000,Leonardo DiCaprio,Jennifer Lawrence,Meryl Streep,Cate Blanchett,Rob Morgan,Jonah Hill,Mark Rylance,Tyler Perry,Timothée Chalamet,Ron Perlman,Ariana Grande,Kid Cudi,Himesh Patel,Melanie Lynskey,Michael Chiklis
758866,Drive My Car,Ryusuke Hamaguchi,Drama,2021-08-18,1300000,Hidetoshi Nishijima,Toko Miura,Masaki Okada,Reika Kirishima,Park Yu-rim,Jin Dae-yeon,Sonia Yuan,Ahn Hwi-tae,Perry Dizon,Satoko Abe,Hiroko Matsuda,Toshiaki Inomata,Takako Yamamura,Ryo Iwase,Faisal Anwar
438631,Dune,Denis Villeneuve,"Science Fiction, Adventure",2021-09-15,165000000,Timothée Chalamet,Rebecca Ferguson,Oscar Isaac,Jason Momoa,Stellan Skarsgård,Stephen McKinley Henderson,Josh Brolin,Javier Bardem,Sharon Duncan-Brewster,Chang Chen,Dave Bautista,David Dastmalchian,Zendaya,Charlotte Rampling,Babs Olusanmokun
693134,Dune: Part Two,Denis Villeneuve,"Science Fiction, Adventure",2024-02-27,190000000,Timothée Chalamet,Zendaya,Rebecca Ferguson,Javier Bardem,Josh Brolin,Austin Butler,Florence Pugh,Dave Bautista,Christopher Walken,Léa Seydoux,Stellan Skarsgård,Charlotte Rampling,Souheila Yacoub,Roger Yuan,Babs Olusanmokun
374720,Dunkirk,Christopher Nolan,"War, Action, Drama",2017-07-19,150000000,Fionn Whitehead,Tom Hardy,Mark Rylance,Kenneth Branagh,Cillian Murphy,Barry Keoghan,Harry Styles,Aneurin Barnard,Damien Bonnard,Lee Armstrong,James Bloor,Tom Glynn-Carney,Jack Lowden,Luke Thompson,Michel Biel
337674,Elle,Paul Verhoeven,"Drama, Thriller",2016-05-25,9800000,Isabelle Huppert,Laurent Lafitte,Anne Consigny,Charles Berling,Virginie Efira,Judith Magre,Christian Berkel,Jonas Bloquet,Alice Isaaz,Vimala Pons,Raphaël Lenglet,Arthur Mazet,Lucas Prisor,Hugo Conzelmann,Stéphane Bak
614934,Elvis,Baz Luhrmann,"Drama, Music, History",2022-06-22,85000000,Austin Butler,Tom Hanks,Olivia DeJonge,Helen Thomson,Richard Roxburgh,Kelvin Harrison Jr. David Wenham,Kodi Smit-McPhee,Luke Bracey,Dacre Montgomery,Leon Ford,Gary Clark Jr. Yola,Natasha Bassett,Xavier Samuel,,
974950,Emilia Pérez,Jacques Audiard,"Drama, Thriller",2024-08-21,26000000,Zoe Saldaña,Karla Sofía Gascón,Selena Gomez,Adriana Paz,Edgar Ramírez,Mark Ivanir,Eduardo Aladro,Emiliano Hasan,Gaël Murguia-Fur,Tirso Pietriga,Xiomara Ahumada Quito,Magali Brito,Jarib dit Javier Zagoya Montiel,Sébastien Fruit,Alejandra Reyes
545611,Everything Everywhere All at Once,"Daniel Scheinert, Daniel Kwan","Action, Adventure, Science Fiction",2022-03-24,25000000,Michelle Yeoh,Stephanie Hsu,Ke Huy Quan,James Hong,Jamie Lee Curtis,Tallie Medel,Jenny Slate,Harry Shum Jr. Biff Wiff,Sunita Mani,Aaron Lazar,Brian Le,Andy Le,Narayana Cabral,Chelsey Goldsmith,
64685,Extremely Loud & Incredibly Close,Stephen Daldry,Drama,2011-12-25,40000000,Tom Hanks,Sandra Bullock,Thomas Horn,Viola Davis,John Goodman,Jeffrey Wright,Zoe Caldwell,Max von Sydow,Dennis Hearn,Paul Klementowicz,Julian Tepper,Caleb Reynolds,Stephen McKinley Henderson,Lorna Guity Pruce,Hazelle Goodman
393457,Fences,Denzel Washington,Drama,2016-12-16,24000000,Denzel Washington,Viola Davis,Stephen McKinley Henderson,Jovan Adepo,Russell Hornsby,Mykelti Williamson,Saniyya Sidney,Lesley Boone,Christopher Mele,Jason Silvis,Tra'Waan Coles,Joe Fishel,Cara Clark,Daniel James,
87502,Flight,Robert Zemeckis,Drama,2012-02-22,31000000,Denzel Washington,Don Cheadle,Kelly Reilly,John Goodman,Bruce Greenwood,Brian Geraghty,Tamara Tunie,Nadine Velazquez,Peter Gerety,Garcelle Beauvais,Melissa Leo,Carter Cabassa,Adam C. Edwards,Conor O'Neill,Charlie E. Schmidt
315664,Florence Foster Jenkins,Stephen Frears,"Comedy, Drama",2016-05-06,29000000,Meryl Streep,Hugh Grant,Simon Helberg,Rebecca Ferguson,Nina Arianda,Stanley Townsend,Allan Corduner,Christian McKay,David Haig,John Sessions,Brid Brennan,John Kavanagh,Pat Starr,Maggie Steed,Thelma Barlow
359724,Ford v Ferrari,James Mangold,"Drama, Action, History",2019-11-13,97600000,Matt Damon,Christian Bale,Jon Bernthal,Caitríona Balfe,Josh Lucas,Noah Jupe,Tracy Letts,Remo Girone,Ray McKinnon,JJ Feild,Jack McMullen,Corrado Invernizzi,Joe Williamson,Ian Harding,Christopher Darga
87492,Foxcatcher,Bennett Miller,"Drama, Thriller",2014-11-14,24000000,Steve Carell,Channing Tatum,Mark Ruffalo,Sienna Miller,Vanessa Redgrave,Anthony Michael Hall,Guy Boyd,Brett Rice,Jackson Frazer,Samara Lee,Francis J. Murphy III Jane Mowder,David Bennett,Lee Perkins,Robert Haramia,
419430,Get Out,Jordan Peele,"Mystery, Thriller, Horror",2017-02-24,4500000,Daniel Kaluuya,Allison Williams,Catherine Keener,Bradley Whitford,Caleb Landry Jones,Marcus Henderson,Betty Gabriel,LaKeith Stanfield,Stephen Root,Lil Rel Howery,Ashley LeConte Campbell,John Wilmot,Caren L. Larkey,Julie Ann Doan,Rutherford Cravens
210577,Gone Girl,David Fincher,"Mystery, Thriller, Drama",2014-10-01,61000000,Ben Affleck,Rosamund Pike,Neil Patrick Harris,Tyler Perry,Carrie Coon,Kim Dickens,Patrick Fugit,David Clennon,Lisa Banes,Missi Pyle,Emily Ratajkowski,Casey Wilson,Lola Kirke,Boyd Holbrook,Sela Ward
49047,Gravity,Alfonso Cuarón,"Science Fiction, Thriller, Drama",2013-10-03,105000000,Sandra Bullock,George Clooney,Ed Harris,Orto Ignatiussen,Phaldut Sharma,Amy Warren,Basher Savage,,,,,,,,
490132,Green Book,Peter Farrelly,"Drama, Comedy, History",2018-11-16,23000000,Viggo Mortensen,Mahershala Ali,Linda Cardellini,Sebastian Maniscalco,Dimiter D. Marinov,Mike Hatton,P.J. Byrne,Joe Cortese,Mary Agnes Nixon,Von Lewis,Jon Sortland,Don Stark,Anthony Mangano,Paul Sloan,Quinn Duffy
324786,Hacksaw Ridge,Mel Gibson,"Drama, History, War",2016-10-07,40000000,Andrew Garfield,Sam Worthington,Vince Vaughn,Teresa Palmer,Luke Bracey,Hugo Weaving,Rachel Griffiths,Ryan Corr,Richard Roxburgh,Goran D. Kleut,Luke Pegler,Firass Dirani,Michael Sheasby,Nathaniel Buzolic,Ori Pfeffer
506528,Harriet,Kasi Lemmons,"Drama, History",2019-11-01,17000000,Cynthia Erivo,Leslie Odom Jr. Janelle Monáe,Clarke Peters,Vanessa Bell Calloway,Omar J. Dorsey,Henry Hunter Hall,Joseph Lee Anderson,Antonio J Bell,Zackary Momoh,Alexis Louder,Aria Brooks,Joe Alwyn,Tim Guinee,Nick Basta,
338766,Hell or High Water,David Mackenzie,"Western, Crime, Drama",2016-08-11,12000000,Jeff Bridges,Chris Pine,Ben Foster,Gil Birmingham,Marin Ireland,Kevin Rankin,Dale Dickey,William Sterchi,Kristen Berg,Katy Mixon,Buck Taylor,Keith Meriweather,Amber Midthunder,Jackamoe Buzzell,Joe Berryman
152601,Her,Spike Jonze,"Romance, Science Fiction, Drama",2013-12-18,23000000,Joaquin Phoenix,Scarlett Johansson,Lynn Adrianna,Lisa Renee Pitts,Gabe Gomez,Chris Pratt,Artt Butler,May Lindstrom,Rooney Mara,Bill Hader,Kristen Wiig,Brian D. Johnson,Amy Adams,Matt Letscher,Spike Jonze
381284,Hidden Figures,Theodore Melfi,"Drama, History",2016-12-10,25000000,Taraji P. Henson,Octavia Spencer,Janelle Monáe,Kevin Costner,Kirsten Dunst,Jim Parsons,Mahershala Ali,Glen Powell,Ariana Neal,Saniyya Sidney,Zani Jones Mbayise,Donna Biscoe,Olek Krupa,Aldis Hodge,Kimberly Quinn
592984,Hillbilly Elegy,Ron Howard,Drama,2020-11-09,0,Amy Adams,Glenn Close,Gabriel Basso,Haley Bennett,Freida Pinto,Bo Hopkins,Owen Asztalos,Jesse C. Boyd,Stephen Kunken,Keong Sim,Morgan Gao,Ethan Suess,Jono Mitchell,Bill Kelly,David Dwyer
44826,Hugo,Martin Scorsese,"Adventure, Drama, Family",2011-11-22,170000000,Asa Butterfield,Ben Kingsley,Chloë Grace Moretz,Sacha Baron Cohen,Ray Winstone,Emily Mortimer,Christopher Lee,Helen McCrory,Michael Stuhlbarg,Frances de la Tour,Richard Griffiths,Jude Law,Kevin Eldon,Gulliver McGrath,Shaun Aylward
389015,"I, Tonya",Craig Gillespie,"Drama, Comedy",2017-12-07,11000000,Margot Robbie,Sebastian Stan,Allison Janney,Julianne Nicholson,Paul Walter Hauser,Bobby Cannavale,Bojana Novaković,Caitlin Carver,Maizie Smith,Mckenna Grace,Suehyla El-Attar Young,Jason Davis,Mea Allen,Cory Chapman,Amy Fox
1000837,I'm Still Here,Walter Salles,"Drama, History",2024-09-19,8000000,Fernanda Torres,Fernanda Montenegro,Selton Mello,Valentina Herszage,Maria Manoella,Bárbara Luz,Gabriela Carneiro da Cunha,Luiza Kosovski,Marjorie Estiano,Pri Helena,Guilherme Silveira,Antonio Saboia,Cora Ramalho,Olívia Torres,Humberto Carrão
465914,If Beale Street Could Talk,Barry Jenkins,"Romance, Drama",2018-12-14,12000000,KiKi Layne,Stephan James,Regina King,Colman Domingo,Aunjanue Ellis-Taylor,Michael Beach,Finn Wittrock,Brian Tyree Henry,Emily Rios,Teyonah Parris,Ebony Obsidian,Dominique Thorne,Ed Skrein,Pedro Pascal,Dave Franco
27205,Inception,Christopher Nolan,"Action, Science Fiction, Adventure",2010-07-15,160000000,Leonardo DiCaprio,Joseph Gordon-Levitt,Ken Watanabe,Tom Hardy,Elliot Page,Dileep Rao,Cillian Murphy,Tom Berenger,Marion Cotillard,Pete Postlethwaite,Michael Caine,Lukas Haas,Talulah Riley,Tohoru Masamune,Taylor Geare
